Time,Airspeed,ALT,Alpha,Beta,Theta,Phi
19.82026,9.886008,3.632268,0.4895774,8.93722,-2.690351,17.38684
19.92027,9.965013,3.527375,0.3938807,9.140962,-3.135953,17.35678
20.02027,10.05024,3.414886,0.2917201,9.294747,-3.572296,17.31617
20.12027,10.14118,3.295196,0.1842426,9.398303,-3.997636,17.26585
20.22027,10.23732,3.168716,0.07254256,9.451734,-4.410358,17.20677
20.32027,10.34183,3.035684,-0.04282402,9.575707,-4.805948,17.14144
20.42028,10.45645,2.895442,-0.1636437,9.871863,-5.16395,17.06194
20.52028,10.57548,2.748417,-0.2860255,10.18242,-5.481196,16.95476
20.62028,10.6982,2.595242,-0.4081154,10.50077,-5.758373,16.8203
20.72028,10.82384,2.436583,-0.5288653,10.81963,-5.996507,16.6601
20.82029,10.95162,2.273145,-0.647464,11.13258,-6.196794,16.47577
20.92029,11.08079,2.105663,-0.7632744,11.4341,-6.360557,16.26892
21.02029,11.21062,1.934901,-0.8757783,11.71952,-6.489186,16.04119
21.12029,11.34039,1.761639,-0.9845579,11.98498,-6.584104,15.79425
21.22029,11.46943,1.586674,-1.089303,12.22728,-6.646765,15.52979
21.3203,11.59819,1.409053,-0.2646365,12.44188,-5.922621,15.22925
21.4203,11.71993,1.240211,1.186916,12.63041,-3.368186,14.9057
21.5203,11.81249,1.108394,1.982542,12.81842,-0.2785659,14.63882
21.6203,11.8602,1.031453,0.6364903,13.0311,1.168763,14.42248
21.72031,11.87192,0.992668,-0.5597972,13.26675,1.409465,14.20418
21.82031,11.86718,0.9708269,-1.144849,13.50469,1.413838,13.97686
21.92031,11.85591,0.9555151,-1.354898,13.73207,1.426757,13.74186
22.02031,11.84185,0.9429116,-1.404215,13.94297,1.476021,13.50077
22.12032,11.82609,0.9319924,-1.399312,14.13493,1.546752,13.25488
22.22032,11.80879,0.9226491,-1.380309,14.30701,1.625493,13.00528
22.32032,11.78993,0.9149846,-1.358894,14.45887,1.705404,12.75292
22.42032,11.76944,0.9091079,-1.337259,14.59044,1.783738,12.49864
22.52032,11.74728,0.9050972,-1.315262,14.70184,1.859511,12.24327
22.62033,11.72345,0.9030015,-1.292492,14.79332,1.932365,11.98753
22.72033,11.69797,0.9028476,-1.268711,14.86524,2.002101,11.73212
22.82033,11.67083,0.9046438,-1.2438,14.91807,2.068544,11.47766
22.92033,11.64209,0.9083819,-1.217715,14.95239,2.131538,11.22474
23.02034,11.61178,0.9140401,-1.190446,14.9688,2.190915,10.97386
23.12034,11.57996,0.9215809,-1.161991,14.96804,2.246517,10.72551
23.22034,11.54669,0.9309528,-1.13235,14.95084,2.298185,10.48009
23.32034,11.51204,0.9420919,-1.101533,14.91796,2.345757,10.23796
23.42035,11.4761,0.9549228,-1.069556,14.87016,2.389076,9.999452
23.52035,11.43894,0.9693571,-1.036434,14.80826,2.42799,9.764825
23.62035,11.40066,0.9852966,-1.002201,14.73309,2.462341,9.534309
23.72035,11.36137,1.002634,-0.966885,14.64539,2.491974,9.308089
23.82035,11.32116,1.021254,-0.9305343,14.54601,2.516739,9.086316
23.92036,11.28015,1.041032,-0.8931901,14.43572,2.536486,8.869097
24.02036,11.23845,1.061839,-0.8549052,14.31526,2.551071,8.656509
24.12036,11.19619,1.08354,-0.8157477,14.18537,2.560354,8.448605
24.22036,11.15347,1.105994,-0.7757812,14.04679,2.564199,8.245407
24.32037,11.11043,1.12906,-0.7350853,13.90016,2.562484,8.046904
24.42037,11.06719,1.152591,-0.6937496,13.74618,2.555089,7.853076
24.52037,11.02389,1.176441,-0.6518629,13.58545,2.541913,7.663879
24.62037,10.98065,1.200461,-0.6095223,13.41858,2.522867,7.479244
24.72038,10.93759,1.224504,-0.5668334,13.2461,2.497874,7.299092
24.82038,10.89485,1.248424,-0.5239177,13.06855,2.466869,7.123341
24.92038,10.85257,1.272076,-0.4808906,12.88642,2.429816,6.951884
25.02038,10.81085,1.295316,-0.4378816,12.70015,2.386686,6.784612
25.12038,10.76983,1.318008,-0.395021,12.51021,2.337479,6.621409
25.22039,10.72964,1.340014,-0.352443,12.31695,2.282214,6.462153
25.32039,10.69039,1.361204,-0.3102944,12.12075,2.22093,6.30672
25.42039,10.65219,1.381452,-0.2687203,11.92195,2.153688,6.154986
25.52039,10.61517,1.400637,-0.227867,11.72085,2.080578,6.006826
25.6204,10.57942,1.418645,-0.1878881,11.51779,2.00171,5.862116
25.7204,10.54506,1.435367,-0.1489307,11.31296,1.917216,5.720734
25.8204,10.51218,1.4507,-0.1111436,11.10664,1.827259,5.582559
25.9204,10.48087,1.464549,-0.07467813,10.89905,1.732023,5.447478
26.0204,10.45121,1.476825,-0.03967757,10.69041,1.631713,5.315378
26.12041,10.4233,1.487448,-0.006285998,10.48093,1.526563,5.186155
26.22041,10.39719,1.496344,0.02536037,10.27077,1.416827,5.059709
26.32041,10.37296,1.503447,0.05513121,10.06012,1.302778,4.935948
26.42041,10.35067,1.508697,0.0829062,9.849178,1.184716,4.814786
26.52042,10.33036,1.512044,0.1085721,9.63808,1.062955,4.696141
26.62042,10.31208,1.513443,0.1320264,9.426985,0.9378307,4.579938
26.72042,10.29587,1.512861,0.1531741,9.216047,0.8096934,4.466108
26.82042,10.28174,1.510266,0.1719349,9.005424,0.6789091,4.354594
26.92043,10.26972,1.505639,0.1882439,8.795245,0.5458572,4.245339
27.02043,10.26138,1.49727,1.287444,8.583667,1.398259,4.142288
27.12043,10.24813,1.496309,2.65201,8.377367,3.628489,4.063337
27.22043,10.21163,1.521616,3.506159,8.194206,6.24484,4.017943
27.32043,10.14066,1.583601,3.956671,8.046662,8.906849,4.006763
27.42044,10.02897,1.686887,2.841113,7.944216,10.16147,4.005183
27.52044,9.887395,1.816671,1.774594,7.882258,10.28986,3.996374
27.62044,9.733453,1.955465,1.214777,7.848208,10.08792,3.983196
27.72044,9.577932,2.092982,1.05151,7.833244,9.817583,3.96726
27.82045,9.426439,2.224144,1.113696,7.83197,9.540604,3.948892
27.92045,9.281695,2.346694,1.283918,7.841173,9.257869,3.927889
28.02045,9.14508,2.45968,1.498356,7.858416,8.958565,3.903919
28.12045,9.017384,2.562708,1.726308,7.881725,8.633893,3.876648
28.22046,8.899171,2.655603,1.953918,7.909117,8.279069,3.8458
28.32046,8.790893,2.738282,2.174793,7.938642,7.892333,3.811152
28.42046,8.692934,2.810714,2.385426,7.968302,7.473762,3.77254
28.52046,8.605626,2.872907,2.583247,7.99611,7.024479,3.72985
28.62046,8.529228,2.924905,2.765937,8.02007,6.546187,3.683014
28.72047,8.463933,2.96679,2.931251,8.038236,6.040958,3.632009
28.82047,8.409853,2.998674,3.077066,8.048832,5.51114,3.576849
28.92047,8.367037,3.020702,3.201456,8.050167,4.959295,3.51758
29.02047,8.335449,3.033047,3.302804,8.040743,4.388178,3.454285
29.12048,8.314987,3.035901,3.379864,8.01921,3.80071,3.387075
29.22048,8.305483,3.029479,3.431816,7.984514,3.199956,3.316087
29.32048,8.306703,3.014009,3.458304,7.935774,2.589089,3.241484
29.42048,8.31836,2.989732,3.459438,7.872411,1.97136,3.163452
29.52048,8.340123,2.956899,3.435771,7.794009,1.350063,3.082197
29.62049,8.371613,2.915765,3.388281,7.700423,0.7284893,2.99795
29.72049,8.41242,2.866591,3.318306,7.591698,0.1098969,2.910955
29.82049,8.46392,2.807968,4.295559,7.465957,0.4826525,2.823705
29.92049,8.516192,2.748789,4.958773,7.332026,1.545128,2.743206
30.0205,8.55671,2.699721,4.461615,7.202673,1.724513,2.666907
30.1205,8.589421,2.657247,3.830024,7.075612,1.382041,2.590536
30.2205,8.620582,2.615978,3.342613,6.945738,0.847111,2.512969
30.3205,8.654674,2.572001,3.020627,6.809299,0.2640477,2.43402
30.42051,8.694249,2.523055,2.813527,6.664221,-0.313531,2.35381
30.52051,8.740462,2.468063,2.668576,6.509668,-0.8707663,2.272574
30.62051,8.793642,2.406656,2.549253,6.345706,-1.406464,2.190578
30.72051,8.853668,2.338834,2.434961,6.17275,-1.922571,2.108089
30.82051,8.92021,2.264767,2.316033,5.991552,-2.420579,2.02537
30.92052,8.992867,2.184695,2.18907,5.802956,-2.900824,1.942678
31.02052,9.071199,2.098884,2.053789,5.607838,-3.362725,1.860266
31.12052,9.154766,2.007606,1.911238,5.407165,-3.805191,1.778392
31.22052,9.243328,1.91084,1.948349,5.201798,-4.130974,1.697153
31.32053,9.33748,1.80804,3.08868,4.99157,-3.076787,1.617794
31.42053,9.423654,1.713092,4.079282,4.784841,-1.169298,1.548862
31.52053,9.487453,1.640027,4.662694,4.590332,1.023165,1.494516
31.62053,9.520059,1.597571,4.942039,4.413301,3.285894,1.455492
31.72054,9.517101,1.590021,5.064711,4.256578,5.552382,1.43141
31.82054,9.47697,1.618696,5.135304,4.121722,7.806096,1.421655
31.92054,9.399593,1.683052,5.21196,4.009748,10.04109,1.42559
